PF-WORD,Count,Start,End
ADH_SHORT,275,1662,1936
ALPHA_CA_1,275,1937,2211
ASP_PROTEASE,682,2212,2893
ATPASE_ALPHA_BETA,166,2894,3059
CARBOXYLESTERASE_B_2,200,3060,3259
CYTOCHROME_P450,1373,3260,4632
EF_HAND_1,1661,1,1661
EGF_1,934,4633,5566
IG_MHC,915,5567,6481
INSULIN,204,6482,6685
LACTALBUMIN_LYSOZYME_1,407,6686,7092
LECTIN_LEGUME_BETA,143,7093,7235
PA2_HIS,496,7236,7731
RNASE_PANCREATIC,303,7732,8034
SOD_CU_ZN_1,113,8035,8147
TRYPSIN_HIS,1200,9243,11642
TRYPSIN_SER,1200,9244,10443
ZINC_PROTEASE,1095,8148,9242
